name,affiliation,departments,email,website,interests,title,year,venue
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,You Can Always Count on Word Problems,2021,"Journal of Humanistic Mathematics 11 (1), 1-3, 2021"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Math in the Time of COVID: An Open Call for Contributions,2021,"Journal of Humanistic Mathematics 11 (1), 495-496, 2021"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,A Modest Proposal,2020,"The Mathematical Intelligencer 42 (3), 55-56, 2020"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,A World of Creativity,2020,"Journal of Humanistic Mathematics 10 (2), 1-2, 2020"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Starting Our Decennial,2020,"Journal of Humanistic Mathematics 10 (1), 1-3, 2020"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Anschaulich: Visualization, Imagination, Mathematics",2019,"Journal of Humanistic Mathematics 9 (2), 1-3, 2019"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Shifting Contexts Stable Core: Advancing Quantitative Literacy in Higher Education,2019,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Finding Direction, Finding Inspiration",2019,"Journal of Humanistic Mathematics 9 (1), 1-2, 2019"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,How to Wear More Than One Hat Well,2018,"Journal of Humanistic Mathematics 8 (2), 1-1, 2018"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,A Mother's Math is Never Don e,2018,"Journal of Humanistic Mathematics 8 (2), 308-309, 2018"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Communicating Mathematics Across Time,2018,"Journal of Humanistic Mathematics 8 (1), 1-2, 2018"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Math in Seventeen Syllables: An Open Call for Mathematical Haiku,2017,"Journal of Humanistic Mathematics 7 (2), 435-436, 2017"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Mathematics and art: a cultural history,2016,"Journal of Mathematics and the Arts 10 (1-4), 87-92, 2016"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,The Problems of Contemporariness and Voice: Review of Literacy & Mathematics: A Contemporary Approach to Quantitative Literacy by Jay P. Abramson and Matthew A. Isom (2005),2016,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,The Power of Two: Two Tips for Mathematicians,2016,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,WANTED: Journalists of Humanistic Mathematics,2016,"Journal of Humanistic Mathematics 6 (1), 307-307, 2016"
